File: antsim.exe
Type: alloc_objects
Time: 2026-09-23 19:49:50 CEST
Showing nodes accounting for 76244, 100% of 76244 total
Dropped 3 nodes (cum <= 381)
      flat  flat%   sum%        cum   cum%
     65537 85.96% 85.96%      65537 85.96%  antcolony/internal/engine/flatgrid.trailKey
      5461  7.16% 93.12%       5461  7.16%  time.Sleep
      3671  4.81% 97.93%      69208 90.77%  antcolony/internal/engine/flatgrid.(*World).commit
      1575  2.07%   100%       1575  2.07%  runtime.mallocgc
         0     0%   100%      69208 90.77%  antcolony/internal/engine/flatgrid.(*Engine).Run
         0     0%   100%      69208 90.77%  antcolony/internal/engine/flatgrid.(*World).tick
         0     0%   100%      69208 90.77%  main.main
         0     0%   100%      69208 90.77%  main.run
         0     0%   100%       1538  2.02%  runtime.allocm
         0     0%   100%      69208 90.77%  runtime.main
         0     0%   100%        513  0.67%  runtime.mcall
         0     0%   100%       1025  1.34%  runtime.mstart
         0     0%   100%       1025  1.34%  runtime.mstart0
         0     0%   100%       1025  1.34%  runtime.mstart1
         0     0%   100%       1538  2.02%  runtime.newm
         0     0%   100%       1575  2.07%  runtime.newobject
         0     0%   100%        513  0.67%  runtime.park_m
         0     0%   100%       1282  1.68%  runtime.resetspinning
         0     0%   100%       1538  2.02%  runtime.schedule
         0     0%   100%       1538  2.02%  runtime.startm
         0     0%   100%       1538  2.02%  runtime.wakep
         0     0%   100%       5461  7.16%  runtime/pprof.profileWriter
