File: antsim.exe
Type: alloc_objects
Time: 2026-09-24 13:44:53 CEST
Showing nodes accounting for 201169, 99.51% of 202158 total
Dropped 19 nodes (cum <= 1010)
      flat  flat%   sum%        cum   cum%
    196611 97.26% 97.26%     196611 97.26%  antcolony/internal/engine/parallel.trailKey
      3277  1.62% 98.88%       3277  1.62%  compress/gzip.NewWriterLevel
      1281  0.63% 99.51%     197892 97.89%  antcolony/internal/engine/parallel.(*World).commit
         0     0% 99.51%     197908 97.90%  antcolony/internal/engine/parallel.(*Engine).Run
         0     0% 99.51%     197892 97.89%  antcolony/internal/engine/parallel.(*World).tick
         0     0% 99.51%     197913 97.90%  main.main
         0     0% 99.51%     197913 97.90%  main.run
         0     0% 99.51%     197913 97.90%  runtime.main
         0     0% 99.51%       3277  1.62%  runtime/pprof.newProfileBuilder
         0     0% 99.51%       3277  1.62%  runtime/pprof.profileWriter
