File: antsim.exe
Type: alloc_objects
Time: 2026-09-24 13:44:54 CEST
Showing nodes accounting for 39561, 100% of 39570 total
Dropped 2 nodes (cum <= 197)
      flat  flat%   sum%        cum   cum%
     32768 82.81% 82.81%      32768 82.81%  antcolony/internal/engine/scent.trailKey
      5255 13.28% 96.09%      38023 96.09%  antcolony/internal/engine/scent.(*World).commit
      1538  3.89%   100%       1538  3.89%  runtime.mallocgc
         0     0%   100%      38031 96.11%  antcolony/internal/engine/scent.(*Engine).Run
         0     0%   100%      38023 96.09%  antcolony/internal/engine/scent.(*World).tick
         0     0%   100%      38032 96.11%  main.main
         0     0%   100%      38032 96.11%  main.run
         0     0%   100%       1538  3.89%  runtime.allocm
         0     0%   100%      38032 96.11%  runtime.main
         0     0%   100%        769  1.94%  runtime.mcall
         0     0%   100%        769  1.94%  runtime.mstart
         0     0%   100%        769  1.94%  runtime.mstart0
         0     0%   100%        769  1.94%  runtime.mstart1
         0     0%   100%       1538  3.89%  runtime.newm
         0     0%   100%       1538  3.89%  runtime.newobject
         0     0%   100%        769  1.94%  runtime.park_m
         0     0%   100%       1282  3.24%  runtime.resetspinning
         0     0%   100%       1538  3.89%  runtime.schedule
         0     0%   100%       1538  3.89%  runtime.startm
         0     0%   100%       1538  3.89%  runtime.wakep
